,tempo_ate_escola,tempo_de_estudo,atividades_extra_curriculares,quer_entrar_na_universidade,internet_casa,tempo_livre_depois_escola,sai_com_amigos,estado_saude,numero_de_faltas,aprovacao
0,1,4,1,1,1,5,4,5,6,1
1,1,1,0,1,1,4,3,5,8,1
2,3,2,0,0,1,4,1,2,20,1
3,1,2,1,1,1,4,3,3,10,0
4,2,3,1,1,1,3,3,2,10,1
5,1,1,1,1,1,3,3,5,4,1
6,1,1,0,1,1,4,3,5,4,1
7,1,2,1,1,1,4,2,4,4,1
8,2,2,0,1,0,1,4,1,6,0
9,1,2,0,1,1,2,2,1,0,1
10,1,2,1,1,1,4,4,4,15,0
11,2,1,1,1,1,4,4,5,2,0
12,1,1,1,1,1,5,3,4,6,1
13,1,2,0,1,1,3,3,4,5,0
14,1,2,0,1,1,3,2,3,0,0
15,2,4,1,1,1,3,5,5,6,1
16,2,2,0,1,1,4,4,5,6,0
17,3,1,0,1,1,3,3,4,6,1
18,2,2,1,1,1,5,2,1,4,1
19,1,2,1,1,0,2,4,3,0,0
20,1,2,0,1,0,5,4,4,11,0
21,1,3,1,1,0,2,3,4,4,0
22,2,2,1,1,1,5,5,5,14,1
23,1,1,0,1,1,4,4,5,12,1
24,4,3,0,1,1,3,2,4,2,1
25,2,1,1,1,1,3,3,2,8,0
26,1,3,0,1,1,4,3,1,7,1
27,2,2,0,1,1,4,3,3,2,1
28,1,2,1,1,1,4,4,4,15,0
29,3,2,0,1,0,4,5,5,0,0
30,1,2,0,1,1,1,5,4,0,0
31,1,1,0,1,0,5,3,3,3,0
32,3,1,1,1,1,3,3,4,0,0
33,1,1,0,0,1,3,5,4,0,0
34,2,2,1,1,1,4,3,3,2,1
35,1,2,0,1,1,1,3,1,0,1
36,1,4,1,1,1,3,3,3,4,1
37,4,2,1,0,0,3,5,5,0,0
38,2,1,1,1,1,3,3,2,8,0
39,1,2,1,1,1,2,4,2,4,1
40,1,3,0,1,1,3,3,4,0,0
41,2,1,1,1,0,3,2,3,0,0
42,1,2,1,1,1,4,3,3,10,0
43,1,1,0,1,1,4,5,5,0,0
44,1,2,0,1,0,3,4,2,4,0
45,1,2,1,1,1,5,5,2,14,0
46,4,4,1,1,1,3,5,1,6,1
47,2,2,0,1,0,3,4,3,6,0
48,1,3,0,1,1,4,3,5,1,1
49,1,4,0,1,1,3,3,3,0,1
50,2,2,1,1,1,2,5,1,13,1
51,1,2,0,1,1,3,1,1,12,1
52,1,2,0,1,1,3,3,5,2,1
